विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (जिनमें कुशल खिलाडी हैं),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (जिनमें कुशल खिलाडी हैं),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (जिनमें कुशल खिलाडी हैं),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (जिनमें कुशल खिलाडी हैं),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (जिनमें कुशल खिलाडी हैं),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (जिनमें कुशल खिलाडी हैं),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (जिनमें कुशल खिलाडी हैं),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (जिनमें कुशल खिलाडी हैं),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (जिनमें कुशल खिलाडी हैं),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (जिनमें कुशल खिलाडी हैं),विभिन्न वाहिनियों/जनपदों में उ.प्र. पुलिस के अभ्यासरत् खिलाडियों/टीमों का विवरण (जिनमें कुशल खिलाडी हैं)
क्र.सं,अभ्यास स्थल,"खेल विधा 
का नाम",प्रशिक्षक,कुशल खिलाडी,कुशल खिलाडी,कुशल खिलाडी,सामान्य खिलाडी,सामान्य खिलाडी,सामान्य खिलाडी,"सामान्य/कुशल खिलाडी
कुल योग"
क्र.सं,अभ्यास स्थल,"खेल विधा 
का नाम",प्रशिक्षक,महिला,पुरूष,"कुशल 
खिलाडी योग",महिला,पुरूष,"सामान्य 
खिलाडी योग","सामान्य/कुशल खिलाडी
कुल योग"
1,04वीं वाहिनी / पुलिस लाइन  प्रयागराज,वाटरस्पोर्टस,2,0,40,40,0,2,2,42
2,04वीं वाहिनी / पुलिस लाइन  प्रयागराज,जिम्नास्टिक,2,0,10,10,0,7,7,17
3,06वीं वाहिनी मेरठ,शूटिंग स्पोर्ट्स,2,8,14,22,4,7,11,33
4,06वीं वाहिनी मेरठ,बॉक्सिंग,2,8,10,18,0,5,5,23
5,06वीं वाहिनी मेरठ,वुशू,2,6,9,15,1,7,8,23
6,09वीं वाहिनी मुरादाबाद,जूडो,2,10,9,19,1,4,5,24
7,10वीं वाहिनी बाराबंकी,आर्चरी,3,8,12,20,4,9,13,33
8,10वीं वाहिनी बाराबंकी,हॉकी,2,10,18,28,7,7,14,42
9,"32वीं वाहिनी लखनऊ
",ताइक्वाण्डो,2,8,3,11,0,5,5,16
10,"35वीं वाहिनी लखनऊ
",एथलेटिक्स,6,34,50,84,4,9,13,97
11,"35वीं वाहिनी लखनऊ
",बास्केटबॉल (म0),1,9,0,9,0,0,0,9
12,"35वीं वाहिनी लखनऊ
",हैण्डबॉल,1,0,12,12,0,6,6,18
13,"35वीं वाहिनी लखनऊ
",तैराकी,1,6,11,17,6,0,6,23
14,"35वीं वाहिनी लखनऊ
",वॉलीबाल,2,9,9,18,3,5,8,26
15,"35वीं वाहिनी लखनऊ
",फुटबाल,2,0,17,17,0,8,8,25
16,"35वीं वाहिनी लखनऊ
",क्रॉसकन्ट्री,1,6,8,14,0,4,4,18
17,"35वीं वाहिनी लखनऊ
",भारोत्तोलन,1,7,6,13,0,3,3,16
18,"35वीं वाहिनी लखनऊ
",टेबल टेनिस,1,2,3,5,12,9,21,26
19,"35वीं वाहिनी लखनऊ
",साइक्लिंग,1,3,6,9,2,3,5,14
20,"47वीं वाहिनी गाजियाबाद
निरीक्षक ना.पु. रजनी",कबड्डी,4,10,8,18,4,9,13,31
21,"47वीं वाहिनी गाजियाबाद
निरीक्षक ना.पु. रजनी",कुश्ती,3,15,19,34,3,8,11,45
22,पुलिस लाइन गाजियाबाद,बैडमिन्टन,2,2,6,8,3,7,10,18
23,पुलिस लाइन आगरा,बास्केटबॉल (पुरूष),2,0,5,5,0,10,10,15
योग,योग,योग,47,161,285,446,54,134,188,634
